Name,Team,Type,National Side,Born,Age,Bowling,Batting Style,Sport,MatchPlayed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhishek Sharma,SRH,All-Rounder ,India,"September 4, 2000 Amritsar, Punjab","21 Years, 6 Months, 11 Days",Slow left-arm orthodox,Left Handed,IPL,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhuvneshwar Kumar,SRH,Bowler ,India,"February 5, 1990 Meerut, Uttar Pradesh","32 Years, 1 Months, 7 Days",Right-arm medium,Right Handed,IPL,132,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Jansen,SRH,All-Rounder ,South Africa,"May 1, 2000 Potchefstroom, North West, South Africa","21 Years, 10 Months, 14 Days",Left-arm fast,Right Handed,IPL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umran Malik,SRH,Bowler ,India,"November 22, 1999 Srinagar, Jammu & Kashmir","22 Years, 3 Months, 24 Days",Right-arm medium fast,Right Handed,IPL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdul Samad,SRH,Batsman ,India,"October 28, 2001 Kala Kot, Jammu & Kashmir","20 Years, 4 Months, 18 Days",Leg break,Right Handed,IPL,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
T Natarajan,SRH,Bowler ,India,"May 27, 1991 Salem","30 Years, 9 Months, 20 Days",Left-arm medium,Left Handed,IPL,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kartik Tyagi,SRH,Bowler ,India,"November 8, 2000 Hapur, Uttar Pradesh","21 Years, 4 Months, 7 Days",Right-arm medium fast,Right Handed,IPL,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiden Markram,SRH,Batsman ,South Africa,"October 4, 1994 Centurion","27 Years, 5 Months, 11 Days",Off break,Right Handed,IPL,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Abbott,SRH,Bowler ,Australia,"February 29, 1992 Windsor, New South Wales","30 Years, 0 Months, 15 Days",Right-arm fast medium,Right Handed,IPL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Phillips,SRH,Wicket-Keeper ,New Zealand,"December 6, 1996 East London, Eastern Cape","25 Years, 3 Months, 9 Days",Off break,Right Handed,IPL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
