Name,Team,Type,National Side,Bowling,Bowling,Sport,MatchPlayed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagadeesha Suchith,SRH,Bowler ,India,Slow left-arm orthodox,Left Handed,IPL,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shashank Singh,SRH,All-Rounder ,India,Off break,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravikumar Samarth,SRH,Batsman ,India,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanju Samson,RR,Wicket-Keeper ,India,,Right Handed,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prasidh Krishna,RR,Bowler ,India,Right-arm medium fast,Right Handed,IPL,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jos Buttler,RR,Wicket-Keeper ,England,,Right Handed,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimron Hetmyer,RR,Batsman ,West Indies,,Left Handed,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Boult,RR,Bowler ,New Zealand,Left-arm fast medium,Right Handed,IPL,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devdutt Padikkal,RR,Batsman ,India,Off break,Left Handed,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuzvendra Chahal,RR,Bowler ,India,Leg break googly,Right Handed,IPL,114,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravichandran Ashwin,RR,All-Rounder ,India,Off break,Right Handed,IPL,167,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yashasvi Jaiswal,RR,Batsman ,India,Leg break,Left Handed,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riyan Parag,RR,All-Rounder ,India,Leg break,Right Handed,IPL,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navdeep Saini,RR,Bowler ,India,Right-arm fast,Right Handed,IPL,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Coulter-Nile,RR,Bowler ,Australia,Right-arm fast,Right Handed,IPL,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Neesham,RR,All-Rounder ,New Zealand,Right-arm medium fast,Left Handed,IPL,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karun Nair,RR,Batsman ,India,Off break,Right Handed,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rassie van der Dussen,RR,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obed McCoy,RR,Bowler ,West Indies,Left-arm medium fast,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daryl Mitchell,RR,All-Rounder ,New Zealand,Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KC Cariappa,RR,Bowler ,India,Leg break,Right Handed,IPL,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tejas Baroka,RR,Bowler ,India,Leg break googly,Right Handed,IPL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuldip Yadav,RR,Bowler ,India,Left-arm medium fast,Left Handed,IPL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhruv Jurel,RR,Wicket-Keeper ,India,,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuldeep Sen,RR,Bowler ,India,Right-arm fast medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubham Garhwal,RR,All-Rounder ,India,Slow left-arm orthodox,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anunay Singh,RR,All-Rounder ,India,Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virat Kohli,RCB,Batsman ,India,Right-arm medium,Right Handed,IPL,207,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Maxwell,RCB,All-Rounder ,Australia,Off break,Right Handed,IPL,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harshal Patel,RCB,All-Rounder ,India,Right-arm medium,Right Handed,IPL,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanindu Hasaranga,RCB,All-Rounder ,Sri Lanka,Leg break,Right Handed,IPL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Hazlewood,RCB,Bowler ,Australia,Right-arm fast medium,Left Handed,IPL,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faf du Plessis,RCB,Batsman ,South Africa,Leg break,Right Handed,IPL,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed Siraj,RCB,Bowler ,India,Right-arm medium fast,Right Handed,IPL,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinesh Karthik,RCB,Wicket-Keeper ,India,Off break,Right Handed,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anuj Rawat,RCB,Wicket-Keeper ,India,,Left Handed,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shahbaz Ahmed,RCB,All-Rounder ,India,Slow left-arm orthodox,Left Handed,IPL,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Willey,RCB,All-Rounder ,England,Left-arm fast medium,Left Handed,IPL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherfane Rutherford,RCB,All-Rounder ,West Indies,Right-arm fast medium,Left Handed,IPL,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahipal Lomror,RCB,All-Rounder ,India,Slow left-arm orthodox,Left Handed,IPL,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finn Allen,RCB,Batsman ,New Zealand,,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Behrendorff,RCB,Bowler ,Australia,Left-arm fast medium,Right Handed,IPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siddarth Kaul,RCB,Bowler ,India,Right-arm medium,Right Handed,IPL,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karn Sharma,RCB,Bowler ,India,Leg break googly,Left Handed,IPL,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suyash Prabhudessai,RCB,All-Rounder ,India,Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chama Milind,RCB,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aneeshwar Gautam,RCB,All-Rounder ,India,Slow left-arm orthodox,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akash Deep,RCB,Bowler ,India,Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luvnith Sisodia,RCB,Wicket-Keeper ,India,Left-arm medium,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohit Sharma,MI,Batsman ,India,Off break,Right Handed,IPL,213,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishan Kishan,MI,Wicket-Keeper ,India,Left-arm medium,Left Handed,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasprit Bumrah,MI,Bowler ,India,Right-arm fast,Right Handed,IPL,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim David,MI,All-Rounder ,Singapore,Off break,Right Handed,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jofra Archer,MI,All-Rounder ,England,Right-arm fast,Right Handed,IPL,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suryakumar Yadav,MI,Batsman ,India,Right-arm medium,Right Handed,IPL,115,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieron Pollard,MI,All-Rounder ,West Indies,Right-arm medium,Right Handed,IPL,178,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewald Brevis,MI,Batsman ,South Africa,Leg break,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Sams,MI,All-Rounder ,Australia,Left-arm fast medium,Right Handed,IPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilak Varma,MI,All-Rounder ,India,Off break,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murugan Ashwin,MI,Bowler ,India,Leg break googly,Right Handed,IPL,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tymal Mills,MI,Bowler ,England,Left-arm fast,Right Handed,IPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaydev Unadkat,MI,Bowler ,India,Left-arm medium,Right Handed,IPL,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riley Meredith,MI,Bowler ,Australia,Right-arm fast,Right Handed,IPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabian Allen,MI,All-Rounder ,West Indies,Slow left-arm orthodox,Right Handed,IPL,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayank Markande,MI,Bowler ,India,Leg break,Right Handed,IPL,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanjay Yadav,MI,All-Rounder ,India,Slow left-arm orthodox,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basil Thampi,MI,Bowler ,India,Right-arm fast medium,Right Handed,IPL,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arjun Tendulkar,MI,All-Rounder ,India,Left-arm medium fast,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramandeep Singh,MI,All-Rounder ,India,Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anmolpreet Singh,MI,Batsman ,India,Off break,Right Handed,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aryan Juyal,MI,Wicket-Keeper ,India,,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arshad Khan,MI,All-Rounder ,India,Left-arm medium,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Buddhi,MI,Batsman ,India,Off break,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hrithik Shokeen,MI,All-Rounder ,India,Off break,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravindra Jadeja,CSK,All-Rounder ,India,Slow left-arm orthodox,Left Handed,IPL,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deepak Chahar,CSK,Bowler ,India,Right-arm medium,Right Handed,IPL,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni,CSK,Wicket-Keeper ,India,Right-arm medium,Right Handed,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moeen Ali,CSK,All-Rounder ,England,Off break,Left Handed,IPL,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambati Rayudu,CSK,Wicket-Keeper ,India,Off break,Right Handed,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruturaj Gaikwad,CSK,Batsman ,India,Off break,Right Handed,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwayne Bravo,CSK,All-Rounder ,West Indies,Right-arm medium,Right Handed,IPL,151,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shivam Dube,CSK,All-Rounder ,India,Right-arm medium,Left Handed,IPL,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Jordan,CSK,All-Rounder ,England,Right-arm fast medium,Right Handed,IPL,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin Uthappa,CSK,Batsman ,India,Right-arm medium,Right Handed,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Santner,CSK,All-Rounder ,New Zealand,Slow left-arm orthodox,Left Handed,IPL,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Milne,CSK,Bowler ,New Zealand,Right-arm fast,Right Handed,IPL,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajvardhan Hangargekar,CSK,All-Rounder ,India,Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prashant Solanki,CSK,Bowler ,India,Leg break,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon Conway,CSK,Batsman ,South Africa,Right-arm medium,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maheesh Theekshana,CSK,Bowler ,Sri Lanka,Off break,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwaine Pretorius,CSK,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayan Jagadeesan,CSK,Wicket-Keeper ,India,,Right Handed,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
KM Asif,CSK,Bowler ,India,Right-arm medium,Right Handed,IPL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tushar Deshpande,CSK,Bowler ,India,Right-arm medium,Left Handed,IPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subhranshu Senapati,CSK,Batsman ,India,Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhagath Varma,CSK,All-Rounder ,India,Off break,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simarjeet Singh,CSK,Bowler ,India,Right-arm fast medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hari Nishaanth,CSK,Batsman ,India,Off break,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukesh Choudhary,CSK,Bowler ,India,Left-arm fast medium,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shreyas Iyer,KKR,Batsman ,India,Leg break googly,Right Handed,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Russell,KKR,All-Rounder ,West Indies,Right-arm fast,Right Handed,IPL,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitish Rana,KKR,All-Rounder ,India,Off break,Left Handed,IPL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varun Chakravarthy,KKR,Bowler ,India,Leg break googly,Right Handed,IPL,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venkatesh Iyer,KKR,All-Rounder ,India,Right-arm medium,Left Handed,IPL,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shivam Mavi,KKR,All-Rounder ,India,Right-arm fast medium,Right Handed,IPL,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Cummins,KKR,All-Rounder ,Australia,Right-arm fast,Right Handed,IPL,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunil Narine,KKR,All-Rounder ,West Indies,Off break,Left Handed,IPL,134,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umesh Yadav,KKR,Bowler ,India,Right-arm fast,Right Handed,IPL,121,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Billings,KKR,Wicket-Keeper ,England,,Right Handed,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Southee,KKR,Bowler ,New Zealand,Right-arm medium fast,Right Handed,IPL,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Hales,KKR,Batsman ,England,Right-arm medium,Right Handed,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Nabi,KKR,All-Rounder ,Afghanistan,Off break,Right Handed,IPL,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajinkya Rahane,KKR,Batsman ,India,Right-arm medium,Right Handed,IPL,151,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheldon Jackson,KKR,Wicket-Keeper ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rinku Singh,KKR,Batsman ,India,Off break,Left Handed,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashok Sharma,KKR,Bowler ,India,Right-arm medium fast,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamika Karunaratne,KKR,All-Rounder ,Sri Lanka,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhijeet Tomar,KKR,Batsman ,India,Off break,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anukul Roy,KKR,All-Rounder ,India,Slow left-arm orthodox,Left Handed,IPL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pratham Singh,KKR,Batsman ,India,Off break,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasikh Dar,KKR,Bowler ,India,Right-arm medium,Right Handed,IPL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramesh Kumar,KKR,Batsman ,India,,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aman Khan,KKR,All-Rounder ,India,Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baba Indrajith,KKR,Wicket-Keeper ,India,Leg break googly,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rishabh Pant,DC,Wicket-Keeper ,India,,Left Handed,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shardul Thakur,DC,Bowler ,India,Right-arm medium fast,Right Handed,IPL,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axar Patel,DC,All-Rounder ,India,Slow left-arm orthodox,Left Handed,IPL,109,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prithvi Shaw,DC,Batsman ,India,Off break,Right Handed,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Marsh,DC,All-Rounder ,Australia,Right-arm medium,Right Handed,IPL,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anrich Nortje,DC,Bowler ,South Africa,Right-arm fast,Right Handed,IPL,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Warner,DC,Batsman ,Australia,Leg break,Left Handed,IPL,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khaleel Ahmed,DC,Bowler ,India,Left-arm medium,Right Handed,IPL,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chetan Sakariya,DC,Bowler ,India,Left-arm medium fast,Left Handed,IPL,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rovman Powell,DC,Batsman ,West Indies,Right-arm medium fast,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuldeep Yadav,DC,Bowler ,India,Slow left-arm chinaman,Left Handed,IPL,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srikar Bharat,DC,Wicket-Keeper ,India,,Right Handed,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mustafizur Rahman,DC,Bowler ,Bangladesh,Left-arm fast medium,Left Handed,IPL,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamlesh Nagarkoti,DC,All-Rounder ,India,Right-arm fast,Right Handed,IPL,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandeep Singh,DC,Batsman ,India,Right-arm medium,Right Handed,IPL,105,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit Yadav,DC,All-Rounder ,India,Off break,Right Handed,IPL,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Dhull,DC,All-Rounder ,India,Off break,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lungi Ngidi,DC,Bowler ,South Africa,Right-arm fast medium,Right Handed,IPL,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Seifert,DC,Wicket-Keeper ,New Zealand,,Right Handed,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pravin Dubey,DC,All-Rounder ,India,Leg break googly,Right Handed,IPL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashwin Hebbar,DC,Batsman ,India,Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ripal Patel,DC,All-Rounder ,India,Right-arm medium fast,Right Handed,IPL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicky Ostwal,DC,All-Rounder ,India,Slow left-arm orthodox,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarfaraz Khan,DC,All-Rounder ,India,Leg break,Right Handed,IPL,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL Rahul,LSG,Wicket-keeper ,India,,Right Handed,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avesh Khan,LSG,Bowler ,India,Right-arm medium fast,Right Handed,IPL,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Stoinis,LSG,All-Rounder ,Australia,Right-arm medium,Right Handed,IPL,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Holder,LSG,All-Rounder ,West Indies,Right-arm medium fast,Right Handed,IPL,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krunal Pandya,LSG,All-Rounder ,India,Slow left-arm orthodox,Left Handed,IPL,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Wood,LSG,Bowler ,England,Right-arm fast,Right Handed,IPL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinton de Kock,LSG,Wicket-Keeper ,South Africa,,Left Handed,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deepak Hooda,LSG,All-Rounder ,India,Off break,Right Handed,IPL,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manish Pandey,LSG,Batsman ,India,Right-arm medium,Right Handed,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Bishnoi,LSG,Bowler ,India,Leg break googly,Right Handed,IPL,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evin Lewis,LSG,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dushmantha Chameera,LSG,Bowler ,Sri Lanka,Right-arm fast,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krishnappa Gowtham,LSG,All-Rounder ,India,Off break,Right Handed,IPL,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
